length,num_missed,route_distance(km),route_num,percent_complete,percent_missing,end_latency,birds_eye_distance(km)
12.0,3.0,16885.11380566841,96.0,0.75,0.25,211.9,15962.440087321495
8.0,0.0,22492.282893429794,97.0,1.0,0.0,159.3,10856.650235829838
13.0,4.0,27181.822465002806,98.0,0.6923076923076923,0.3076923076923077,232.4,-1.0
16.0,3.0,15209.590489235354,99.0,0.8125,0.1875,146.2,8548.797960222608
15.0,2.0,6533.062660221845,100.0,0.8666666666666667,0.1333333333333333,63.2,2200.6091788598587
13.0,3.0,15758.090534245901,101.0,0.7692307692307693,0.23076923076923073,55.4,1796.7394580649027
13.0,1.0,345.0627232528516,102.0,0.9230769230769231,0.07692307692307687,33.3,290.9667145504208
16.0,2.0,18286.856198343834,103.0,0.875,0.125,74.8,2200.6091788598587
16.0,4.0,13239.265063213768,104.0,0.75,0.25,83.0,2843.524703516631
17.0,3.0,15593.974530320587,105.0,0.8235294117647058,0.17647058823529416,63.3,-1.0
17.0,2.0,22449.22854307598,106.0,0.8823529411764706,0.11764705882352944,133.8,2200.6091788598587
17.0,5.0,14851.315707726568,107.0,0.7058823529411765,0.2941176470588235,138.0,8218.467821089569
17.0,2.0,23314.489203997684,108.0,0.8823529411764706,0.11764705882352944,151.7,2200.6091788598587
15.0,1.0,46873.364210458116,109.0,0.9333333333333333,0.06666666666666665,224.9,2200.6091788598587
17.0,4.0,18886.729475289656,110.0,0.7647058823529411,0.23529411764705888,216.3,13625.256267578103
15.0,1.0,21267.30685349823,111.0,0.9333333333333333,0.06666666666666665,215.3,10549.844838192777
22.0,7.0,32787.64405169778,112.0,0.6818181818181818,0.31818181818181823,295.8,-1.0
14.0,1.0,8698.023376850304,113.0,0.9285714285714286,0.0714285714285714,114.2,6357.00081571393
10.0,1.0,1239.2289144982974,114.0,0.9,0.09999999999999998,21.3,521.2006512230706
19.0,2.0,12797.99960201991,115.0,0.8947368421052632,0.10526315789473684,44.4,1642.4791342827114
17.0,0.0,12678.813685725065,116.0,1.0,0.0,56.1,2077.133208043846
10.0,0.0,11527.041551082424,117.0,1.0,0.0,85.7,521.2006512230706
22.0,2.0,34172.04735234651,118.0,0.9090909090909091,0.09090909090909094,79.4,3806.550827335608
23.0,4.0,6186.23796045598,119.0,0.8260869565217391,0.17391304347826086,36.9,-1.0
17.0,0.0,23781.72012167195,120.0,1.0,0.0,86.4,521.2006512230706
14.0,3.0,25778.52344332746,121.0,0.7857142857142857,0.2142857142857143,90.7,5990.535059850584
8.0,2.0,8859.280873845106,122.0,0.75,0.25,0.0,-1.0
7.0,1.0,3998.8262981890903,123.0,0.8571428571428571,0.1428571428571429,0.0,-1.0
8.0,3.0,13978.963179146527,124.0,0.625,0.375,0.0,-1.0
11.0,1.0,7433.031002554252,125.0,0.9090909090909091,0.09090909090909094,0.0,-1.0
8.0,1.0,10755.079920188422,126.0,0.875,0.125,0.0,-1.0
8.0,3.0,14558.96036927531,127.0,0.625,0.375,0.0,-1.0
9.0,3.0,2176.2667499490512,128.0,0.6666666666666666,0.33333333333333337,0.0,-1.0
11.0,1.0,18278.930355330107,129.0,0.9090909090909091,0.09090909090909094,0.0,-1.0
9.0,4.0,7173.570974791415,130.0,0.5555555555555556,0.4444444444444444,0.0,-1.0
11.0,1.0,19203.776889833272,131.0,0.9090909090909091,0.09090909090909094,0.0,-1.0
9.0,1.0,47179.5897374513,132.0,0.8888888888888888,0.11111111111111116,0.0,-1.0
13.0,4.0,18700.961677955303,133.0,0.6923076923076923,0.3076923076923077,0.0,-1.0
10.0,1.0,30585.751091385668,134.0,0.9,0.09999999999999998,0.0,-1.0
15.0,8.0,28076.33847279599,135.0,0.4666666666666667,0.5333333333333333,0.0,-1.0
10.0,2.0,18593.980290317795,136.0,0.8,0.19999999999999996,0.0,-1.0
7.0,1.0,2582.612911623825,137.0,0.8571428571428571,0.1428571428571429,0.0,-1.0
8.0,4.0,7770.6848586469205,138.0,0.5,0.5,0.0,-1.0
6.0,1.0,6968.515531353854,139.0,0.8333333333333334,0.16666666666666663,0.0,-1.0
8.0,1.0,11408.976800247925,140.0,0.875,0.125,0.0,-1.0
8.0,4.0,4252.154621166033,141.0,0.5,0.5,0.0,-1.0
9.0,3.0,3474.0317104248734,142.0,0.6666666666666666,0.33333333333333337,0.0,-1.0
10.0,2.0,17968.788422352012,143.0,0.8,0.19999999999999996,0.0,-1.0
12.0,4.0,6294.725759837221,144.0,0.6666666666666666,0.33333333333333337,0.0,-1.0
11.0,2.0,49565.65672027574,145.0,0.8181818181818182,0.18181818181818177,0.0,-1.0
10.0,1.0,47914.847245204284,146.0,0.9,0.09999999999999998,0.0,-1.0
11.0,4.0,16685.351695570444,147.0,0.6363636363636364,0.36363636363636365,0.0,-1.0
8.0,1.0,22178.36167710336,148.0,0.875,0.125,0.0,-1.0
11.0,4.0,27223.44952526219,149.0,0.6363636363636364,0.36363636363636365,0.0,-1.0
15.0,5.0,7126.758445589149,150.0,0.6666666666666666,0.33333333333333337,0.0,-1.0
12.0,2.0,21095.63048429387,151.0,0.8333333333333334,0.16666666666666663,0.0,-1.0
13.0,3.0,4080.8371387076168,152.0,0.7692307692307693,0.23076923076923073,0.0,-1.0
13.0,1.0,16769.141317420017,153.0,0.9230769230769231,0.07692307692307687,0.0,-1.0
12.0,2.0,14609.953276274613,154.0,0.8333333333333334,0.16666666666666663,0.0,-1.0
12.0,4.0,7130.458130369259,155.0,0.6666666666666666,0.33333333333333337,0.0,-1.0
14.0,3.0,2860.1651302794144,156.0,0.7857142857142857,0.2142857142857143,0.0,-1.0
14.0,2.0,25849.171667874394,157.0,0.8571428571428571,0.1428571428571429,0.0,-1.0
16.0,7.0,6765.938032526054,158.0,0.5625,0.4375,0.0,-1.0
15.0,1.0,38369.57561453999,159.0,0.9333333333333333,0.06666666666666665,0.0,-1.0
14.0,1.0,47755.36512089785,160.0,0.9285714285714286,0.0714285714285714,0.0,-1.0
16.0,4.0,30912.134704273238,161.0,0.75,0.25,0.0,-1.0
13.0,1.0,23134.94455481713,162.0,0.9230769230769231,0.07692307692307687,0.0,-1.0
19.0,7.0,28251.78125434331,163.0,0.631578947368421,0.368421052631579,0.0,-1.0
14.0,5.0,14442.208968889972,164.0,0.6428571428571429,0.3571428571428571,0.0,-1.0
