link_distance,coords,IPs
5878.435244422666,"[(40.7128, -74.006), (52.3702, 4.895169999999999)]",
5878.435244422666,"[(40.7128, -74.006), (52.3702, 4.895169999999999)]",
14.870484062227272,"[(40.7128, -74.006), (40.812, -74.1243)]",
5999.343955340147,"[(43.6644, -79.4195), (52.373999999999995, 4.8897)]",
6000.56156307041,"[(43.6644, -79.4195), (52.36, 4.89814)]",
7850.112075827702,"[(47.6062, -122.33200000000001), (52.36, 4.89814)]",
2706.1717481108794,"[(32.7767, -96.79700000000001), (47.6062, -122.33200000000001)]",
2209.3234283215666,"[(32.7767, -96.79700000000001), (40.7128, -74.006)]",
14.870484062227272,"[(40.7128, -74.006), (40.812, -74.1243)]",
15011.717635064088,"[(1.32123, 103.695), (43.6644, -79.4195)]",
15007.528013775469,"[(1.35208, 103.82), (43.6644, -79.4195)]",
